pp_ext_start_comment,pp_trip_comment
04-25-25 Rail; angled out upper stretch; angled 7-path 1/16; weakened;,Rail;7-path 1/16
02-22-25 Rail; gave way;,Rail; gave way
04-25-25 Very wide first turn; chased pace; gave way;,Very wide 1st turn
09-14-24 Off pace2p;steadied3/8 and 5/16;no impact,2p;steady3/8;stdy5/16
10-19-24 Squeezed start; rail; 4wd 3/16; left lead; exchanged bumps late,Squeeze st; bumps late
12-05-24 Chased 3-4wd; mild stretch,3-4wd; mild gain
02-22-25 Raced off pace four deep backside; roused four wide upper; empty,Bid4w-upper; empty
03-14-25 Bore out bumped foe start; rail; pace; weakened 1/8 pole,Bump start;rail;weaknd
04-11-25 Between horses; light steady 3-1/2;drop back turn;swung out,Light steady 3-1/2
11-08-24 Urged outside;mvd in outside1/2;2-4p turn;3p1/4;mvd out;empty,2-4p turn;mvd out3/16
11-29-24 Shied out st; prompted 2p early; chased 2p; 3w upper; weakened,Prompted 2p; weakened
12-29-24 Hustled;pace;ins-2path turn;headed 3p3/16;weakened;clear3rd,Ins-2p;3p3/16;wknd
01-24-25 Coaxed st; chased 5-3w; coaxed 3/8; 5w upper; tired,Chased 5-3w; tired
02-23-25 Dueled early; in hand ins; inside 1/4; collared 3/16; weakened,In hand ins; weakened
03-09-25 Coaxed st; 4-5w backstretch; 3w turn; 2w 1/4p; no match; 2nd best,2w 1/4; 2nd best
04-06-25 Pressed outside;lead 4path turn;headed ins1/8;outfinished;aclr2nd,4p;led3/8-1/8;overtakn
07-11-24 Brk in st; chased 5w; to ins 1/2; coaxed 3/8; 2w 1/4p; tired,2w 1/4p; tired
04-12-25 Hit gate;speed;drpped back4-1/2;empty 3-4p turn;retreated,Hit gate;3-4p;retreatd
04-18-25 3-deep nearing turn; dropped back,3-deep; drop back
04-11-25 Brushed start;edged up between;stalked;dropped back turn;angled,Brush;btw;angl;faded
01-24-25 3 wide 3/8; gave way;,3wd turn; gave way
03-08-25 Stalked duel; 3 wide turn; gave way;,Off duel; gave way
03-24-25 Raced wide down the backstretch and gave way readily,Wide; stopped
04-18-25 With early pace 4-deep; 3-deep pressing 3/8; 4wd upper; gamely,4wd outs foes;gamely
02-07-25 5wd outside rivals; dropped back,5wd outs foes;weaknd
03-07-25 Angled in 5/8; rail; pace; faded,Rail; faded
03-28-25 Speed 3 wide; pressed pace; gave way;,3wd; gave way
04-18-25 Broke inward;bumped;rush between;press outs winner;faded,Brk in;bmp;used btw
07-21-24 Bumped start; wide turn; weakened;,Bump start;4w turn
08-10-24 Move inside foes;eased out;stalk 2w;urged 1/4;shift in;faded,Rush up;stalk 2w;fade
04-18-25 Drafted back early;shuffled 3-1/2;circled 5wd;leftlead;drift in,Shffld 3-1/2;5w mv 1/4
04-11-25 Broke in air; ducked in; rushed up 1/2; chased ins; weakened,Horrid start;used up
06-22-24 Prompt outside foe; drew off; driving;,Prompt outs;drove clr
08-01-24 Settled early; 6-7 wide upper stretch; driving;,Settld;6-7w uppr;drvng
08-22-24 Sent inside; rated back; inside 1/4; angled 4p; moved up,Ins 1/4;angl 4p;mve up
09-14-24 5p 1st turn;bid 7/16;3p far turn;up 1/16;dueled clear,3p;up 1/16;duel clear
10-12-24 In clear chasing early; angled 6wd upper stretch; came back on,Angld 6w;came back on
12-04-24 Settled; 4wd upper stretch; driving;,Settld;4-w uppr;drvng
12-27-24 Settled back outside; failed to respond;,Outside;no response
01-24-25 Raced off the pace early; four wide move quarter; long drive up,4w;3w;determined str
03-23-25 Bumped start; reserved early; swung 7 wide; late rally; got show,Bmpd st;swung7w;rally
04-05-25 Void early speed; fanned 5 wide 1/4; mild rally;,5wd 1/4; mild rally
01-07-22 Tracked off rail; weakened from the far turn,Tracked 1/2 faded
04-28-24 Pace inside;clear 2wd upper;drifted outward 1/8;dug in;driving,Drifted 1/8;dug in;drv
05-27-24 Rail; speed; angled out upper stretch; switched leads twice,2-lead switchs;game
06-22-24 Rated inside; no final bid,Rated ins;no final bid
07-14-24 Coaxed st; spun 3w into 1st trn; dueled 2p; 3w uppr; caught; wknd,Dueled 2p; wknd late
08-17-24 Chased pace; tired,Chased pace; tired
08-30-24 Pressed pace; between horses; gave way;,Press bween; gave way;
09-19-24 Prompted pace 2 wide; bid 2 wide; dueled; out-kicked,Prompted;bid2w;outkick
10-05-24 Stalked; rail trip; hard ridden; tipped out; wore down rival,Wore down rival
10-26-24 Chased pace; 2 wide lead far turn; clear; got bob at wire,Got bob at wire
12-01-23 3 wide first turn; chased pace; 2 wide far turn; faltered;,3-2wd turns;faltered
01-05-24 Settled off duel;asked 3/8;angled 4-5w;bid outside foes;driving,Off duel;angl 5w;surge
01-28-24 No speed; mild rally;,Mild rally
02-17-24 Void early speed; fanned 6 wide upper stretch; no rally;,Fanned 6wd 3/16;no bid
03-30-24 Bumped start; off slow; edge up 1/2; between 5/16; tired,Bump st;btw 5/16;wknd
04-21-24 Toss head start;sqeezed;move between;angle 5w;surge outside;up,Sqzd st;angl 5w;surge
05-11-24 2p1st;settled outside;ask3w2nd;6w into lane;improved;late energy,2-3p trns;6p1/4;imprvd
06-16-24 Bmpd brk;coaxed;2p1st;stlkd outside;chsd 2p2nd turn;3p1/4;tired,Bmp brk;out;2p;3p1/4
08-01-24 Last away; trailed; dull effort,Trailed; dull effort
04-07-25 Trailed far behind; advanced inside; loomed threat; just missed,Far back; rail rally
07-28-24 Edged up inside near 1/2; stalked; pushed along 3/8ths;weakened,Aim ins;rddn 3/8;wknd
08-29-24 Off pace inside; angled out 1/4; 3w into lane; rallied between,Angle out; rally btwn
09-15-24 Saved ground; worked outward; run between foes 1/16; flattened,Ins;run btw 1/16;flttn
10-19-24 Stumbled start; reserved 2 wide; 4-3 wide move turn;flattened out,Stumbled brk;4-3w move
11-16-24 Void early speed; swung 6 wide 1/4; mild rally;,6wd 1/4; mild rally
12-08-24 Off step slow; 3p turn; 6-p 3/16; flattened out;,Stp slw;3p trn;flattnd
02-01-25 Tracked between run; knifed inside upper; drew off driving,Knifed in;drew off drv
03-01-25 Brushed start; 4 wide 1/4; herded out; brushed late,Herded;brushed late
03-09-25 Slow start; rail; circled far turn; 5 wide upper; by-faders,Slow start;5wd 3/16
04-05-25 Slow start; 4 wide turns; led upper; drifted; bumped winner late,4wd turns;game
05-06-23 3 wide first turn; chased pace; weakened,Chased weakened
06-09-23 Prompted pace 2 wide; no match; 2nd best,Prompted2w; 2nd best
07-19-23 Attended pace inside; shifted out; toiled on for minor award,Shifted out; evenly
08-04-23 Float out 1st turn; off pace; lacked room; 3w1/8; too late,Float out;3w1/8;tolate
08-23-23 4 wide first turn; chased; bid 4 wide; flattened out;,4p turns;flattened out
10-26-23 Well plcd;gained position 3w 2nd trn; 4w str; wknd final furl,4w;wknd final furl
11-16-23 2p1st;led;svd gnd2nd;weaken late,Led;svd gnd;wkn late
05-28-24 Lunged start; tracked back;stdy into 2nd trn; faded,Lunged s;stdy 2nd trn
06-11-24 Hard held inside; waited 1/4; bid inside; kicked away; driving;,Ins;wait1/4;ins bid1/8
08-01-24 Failed to sustain bid;,Failed to sustain bid;
07-02-23 Tracked 2p; coaxed 3-4w 5/16; 4w uppr; leaned on 3/16 & 1/8; wknd,Leaned on 3/16 & 1/8p
08-05-23 Coaxed st; chased 2p; coaxed 1/2p; nudged 4w 3/8; 6w uppr; wknd,6w upper; weakened
10-04-23 Coaxed st; chased 2-3w; coaxed 5/16; 7w upper; no impact,Chased 2-3w; no impact
11-16-23 Tracked 2p; coaxed 1/4; 3w uppr; came in; bumped foes; kept on,Came in; bump foes 1/8
05-24-24 Checked leaving chute;in hand;3-4w turns;5w1/4;no threat,Chckd early;3-4w;5w1/4
06-21-24 Coaxed st; chased ins; coaxed 5/16; inside 1/4; no kick,Chased inside; no kick
07-21-24 Ins1st;toward back;ins-2p2nd turn;angled out;no factor,Ins-2p turns;angld out
08-17-24 Brk out st; chased ins; sluggish; 3w 3/8; 8w uppr; eased home,Sluggish ins; eased
10-10-24 Coaxed st; chased 3-4w; coaxed 2p 5/16; 6w upper; passed tired,6w upper; passed tired
10-26-24 Rail; stalked pace; angled 4-path 3/16; hung between horses;,Rail;4-path 3/16;hung
09-08-23 Loose pre race; outrun;,Loose pre race;outrun
10-14-23 Checked early; rail past 1/2; eased out; work between; trying,Chckd early;ins;mv btw
11-18-23 Unhurried early; rail 5/16; between 1/8; flattened out;,Ins trn;btw 1/8;flttnd
05-24-24 Inside; stalked pace; swung wide upper; late bid; driving;,Swung wide; driving
06-23-24 Stalked pace; 3 wide far turn; drifted out drive; up,3wd;drifted out late
07-19-24 2-path far turn; rallied between horses;,Rallied between horses
08-29-24 Off pace inside; 2w; between turn; faded,Inside; 2w; faded
10-12-24 Rated backstretch; between horses 1/4; swung 4 wide; rallied;,Swung 4wd upper;bid
10-26-24 3 wide turns; bid late; bumped winner near finish,3wd turns; bid
12-08-24 Stalked 3p; faded,Stalked 3p; faded
08-19-22 Unseat jock post parade;bmp after brk;rated ins;2-4p2nd;bid1/8;up,Bmp brk;2-4p2nd;5p1/4
09-24-22 In hand;toss head rank;rated ins;;2p1/4;behind foes;alter;no kick,Rank;ins;clear room1/8
11-20-22 Pulled early;ins1st;rated;2-3p2nd;bmpd5/16;bid1/4;led;wknd,Ins1st;2-3p2nd;bmp5/16
07-13-24 Awkward st; rank ins 1st trn; tracked ins; 2w 1/4p; wknd late,Awkward st; wknd late
08-23-24 3-2w 1st turn; chased 2-3w; let out 3-4w uppr; up; dueled; game,3-4w uppr; duel; game
10-05-24 Speed btwn;tkn back;2p1st;stlkd out;bid3/8;2p2nd;3p1/4;outkicked,2p trns;3p1/4;outkickd
12-27-24 Brush start; set pace 2p; headed 7/16; stopped,2p;headed 7/16;stopped
01-31-25 Sent;set prompted pace;battled stretch;no match late;2nd best,Sent;no match;2nd best
02-22-25 Assumed lead; slow pace; met bids far turn; weakened stretch,Slw pc;med bid;wknd
05-02-25 Coaxed st; 3-2w pursuit; coaxed 5/16; 2-3w upper; tired,3-2w pursuit; tired
04-12-24 Settled in mid pack; asked 4w into lane; lacked kick,Asked 4w 1/4; no kick
06-12-24 Settled off the leaders inside; angled out stretch; dead heat,Angled out; rallied
07-05-24 Brushed start; forward inside; ridden chasing mid turn; faded,Brush st;inside;weaknd
08-01-24 Stalked pace; late stretch run; up show,Stlkd; laterun; up shw
09-04-24 Shuffled back between 3/8; inside 1/4; angled; belatedly,Shuffld 3/8; belatedly
09-27-24 Rated early;move inside foes;shift out;switch leads 3x;gamely,Ins;angl;swtch lds 3x
10-13-24 6wd into first turn;edge up between 1/2;aim 2wd upper; gave way;,6wd early;btw;aim;wkn
11-02-24 Void early speed; swung 6 wide mid stretch; no rally;,No rally
12-16-24 Tracked inside; chased inside turn; faded,Tracked inside; faded
02-13-25 Brushed brk;settled;inside turn;showed little,Inside turn;outrun
07-15-23 Alert break; pace near rail; opened up 1/8; driving;,Rail; driving
08-19-23 Quickly clear & shifted in; pace; drifted 3p into str & back in,Clear;insd;drifted str
10-19-23 Stalked pace; 3 wide far turn; aim 1/4; flattened out;,3wd; flattened out
11-05-23 Steadied first turn; chased pace; faded; steadied 1/16,Faded; steadied 1/16
04-21-24 Snug hold stalking;bid 2wd 5/16;dueled;led 1/8;grudgingly between,Bid;duel;grudgngly btw
07-05-24 2 wide; pressed pace; led into stretch; faltered 1/16,2wd bid; faltered 1/16
08-16-24 Vied outside early;clear 5/8;pace inside;open up 1/8;all out,Vied outs;clr;all out
09-15-24 Rated 3wd outside foe;bid past 3/8;led 1/4;cleared off;grudgingly,3-2w;bid;clr;stbbrnly
11-29-24 Rated; 2p between far turn; drew off; driving;,2p btw far turn;drvng
12-20-24 Step slow/floatd in st;track 2-3p1st;aim 2nd;5p1/4;bid btw;outkck,Floatd;3p;bid btw;outk
06-19-24 Stalked 2w; chased 3w turn; 5w into lane; mild rally; bested rest,3w far turn; 5w 1/4
07-05-24 Brushed;3w between; 3wd 1/2; pushed along 3/8;4w 1/4;weaken,3-4w;rddn 3/8;weaknd
07-12-24 Off pace inside; between turn; 3w bid 1/4; stretch duel; gamely,3w bid 1/4; str duel
08-02-24 Towards inside behind foes;urged chasing 5/16;shift out;churn,Behind foes;angl;churn
08-24-24 Off rail; off pace; between 1/2; chased turn; weakened,Between 1/2; weakened
10-13-24 Within range 3-deep 5/8ths;5wd bid outside foes 1/4;flattened out,3deep;5wd mve;flttnd
11-28-24 Swung outside 3/4; 3 wide far turn; late bid,Outside; late bid
12-15-24 Edged up between foes near 1/2;hard chase past 3/8ths;empty,Mv btw;chase;empty
02-21-25 Step slow; failed to menace,Step slow; no factor
04-05-25 Bumped; tight start; rate off foes; 4-6wd from 3/8ths; lacked bid,Tight start;4-6wd;even
09-14-24 Vied inside; tired,Vied inside; tired
10-25-24 Rail; stalked; eased out upper stretch; left lead; gained place,Left lead;gained 2nd
11-08-24 Speed;eased back 4-1/2;angled;rebid 3wd;eager widen;ridden out,Easd bk;rebid 3w;r out
12-07-24 Well off rail; no factor;,No factor
12-20-24 5 wide 3/8; chased outside winner; flattened out;,5wd 3/8;flattened out
01-26-25 Stalked embattled foes 3-4w;edge up 1/4;set down 1/8;grind;up,3-4w;set dwn 1/8;grind
02-21-25 Awkward start; lost ground 4wd chasing; steadied off heels 3/16,Awkwrd st;4w;stdy upr
03-09-25 Stalked between;eased back 3-1/2;angled out;circled 6wd;trying,Easd bck btw;angl 6wd
04-04-25 Rated;eased out;move between 5/16;between past 1/8;willing,Rate;work btw;willing
04-19-25 Rail; stalked pace; weakened;,Rail; weakened
07-11-24 Urged early; 2p between turn; weakened;,2p btwn turn;weakened
11-15-24 Inside chase; lacked serious response,Inside chase;need bid
12-08-24 Settled; 3p turn; gamely,Settld;3-p turn;game
12-28-24 Nudged chasing leaders;shift 4wd;steady outside run;drove clear,Nudge alng;shft 4w;drv
02-07-25 Awkward start; steadied; inside past 1/2; failed to menace,Awkwrd st;stdy;inside
03-02-25 Hugged inner rail; weakened;,Rail; weakened
03-28-25 No speed; between horses upper; swung wide 1/16; rallied;,Angled out 1/16
04-18-25 Off pace; 3wd upper stretch; got by-fading foes,3wd upper;by-faders
11-15-24 Bumped start; drafted in near 1/2; 3wd turn; angled out; belated,Bmp st;angled;belated
12-28-24 Broke slowly; urged inside off pace; angled out 1/4; lacked bid,Brk slw;angl 1/4;empty
01-28-25 Bumped st; set pace inside; shook free turn; dug in gamely inside,Bumped st; pace ins
02-21-25 Secured ins;well rated;clear 5/16;repel outer threat 1/4;driving,Ins;repel foe uppr;drv
04-19-25 Never far back; off rail; swung 4 wide 1/4; weakened;,4wd 1/4; weakened
01-08-25 No factor; 3-4wd,No factor; 3-4wd
02-22-25 Stalked pace 2 wide; bid 2-3 wide upper; drew clear; mild drive,Stalk;bid2-3w;mild drv
08-17-24 Off pace; no factor,No factor
08-31-24 Inside turn; angled out; rally outside; wore down rival late,Wore down rival late
10-31-24 Urged off pace;moved outward 3/8;swung 6wd;steady grind;missed,Swung 6w;grind;missd
12-27-24 Bump start;rate between early;inside 5/16;swung out 1/8;driving,Bmp;bw-ins;angl 1/8;up
02-07-25 Bore out start; off slow; belatedly off rail; failed to menace,Bore out;off slw;mild
03-02-25 Circled turn; 4 wide 1/4; closed outside leader; driving;,4wd 1/4; driving
03-15-25 No speed; rail turn; mild rail move upper stretch; needed more,Rail; needed more
09-13-24 Brk in; brush gate st; chased 2p; 2w 1/4p; trailed throughout,Brush gate st; trailed
10-04-24 Outrun,Outrun
10-19-24 Bumped sideways start; pressed 2 wide; bid between 1/4; lost 2nd,Bmp sideways brk;bid2w
11-28-24 Rail turn; angled 5-path 1/8; willing finish between horses;,Willing finish between
12-13-24 Bumped start; 4 wide turn; chased; weakened;,Bump start;4w;weaknd
01-17-25 Bumped foe start; steadied first turn; bid far turn; willing,Steadied 1st turn
02-08-25 Stumbled; bumped break; 3-path 1/4; erratic midstretch; up inside,Stumbl;bmp brk;inside
02-23-25 Settle ins;edge up 3/8;angle under ride;bid ins foe;drift;driving,Mv bw;bid ins foe;drft
03-29-25 No speed; swung 4 wide 1/4; led upper; drew off; driving;,4wd 1/4; driving
04-25-25 Far back;inside 5/16 run between 1/8;shift out;left lead;gamely,Ins;mv bw;angl;game
06-30-24 4-path into lane; 6-path between horses 3/16; no rally;,4-6path stretch;empty
08-02-24 Forwardly placed; three wide drive; determined for the show,Forward;determined3rd
08-25-24 Drafted off pace inside; slipped through past 1/16;gained;gamely,Inside trip;game rally
09-15-24 Rail around turn; gave way;,Rail; gave way
10-18-24 3-deep 1/2; early pursuit; dropped back turn; empty lane,3-deep 1/2;empty
11-09-24 Middle of pack early; dropped back turn; 3wd upper; angled in,3wd upper;angled in
04-13-25 2-path turn; gave way;,2-path; gave way
03-27-25 Never a threat,Never a threat
02-16-24 Never factored throughout,Never factored
05-04-24 Pressed between foes;faded turn,Pressed btw;faded turn
05-30-24 Dueled early inside;settled;bid1/2;vied btw;duel str;yielded late,Settled;bid1/2;vied;
06-27-24 Came in 7/8;led inside;dueled;vied late inside rivals;outfinished,Inside;duel;outfinishd
09-21-24 Bore out start; rail; easy pace; faltered; steadied late,Easy pace; faltered;
10-31-24 Stalked inside; under ride leaving far turn; dropped back,Aim ins;rddn 3/8;wknd
11-29-24 Bumped start; wide off pace; failed to respond,Bump st;wide;no bid
01-06-25 Stumbled; lost irons start; pulled up first turn; walked off,Stmbl;pulled up;walked
03-07-25 Off vying leaders; chased on settled in for the show,Chased;settled third
03-27-25 Off pace four wide to third bend; never fired,4w1/4; never fired str
11-30-24 4-path leaving turn; no rally;,4-path turn;no rally
01-17-25 Set pressured pace inside; headed leaving 1/2; faltered,Prssrd ins;faltered
02-01-25 Stayed along inner rail; no factor;,Rail; no factor
03-08-25 Chased pace; 3 wide turns; gave way;,3wd turns; gave way
03-22-25 Set pace inside; headed 5/16; gave way grudgingly,Inside;grudgingly
04-04-25 Rail turn; angled out mid stretch; mild rally;,Rail turn;angled 1/8
04-19-25 Tracked vying leaders to far turn; inside left lead; flattened,Tracked;left-ld;flattn
07-28-24 Steadied start; outrun inside; no factor,Steady st; no factor
08-18-24 Stalked between; chased; 4w into lane; no rally,Stalked btwn; no rally
11-09-24 Dropped far back early; worked outward lane; belatedly,Far back;angl;belated
12-01-24 5-wide 1st turn; inside 1/4; no bid,5-w 1st;ins 1/4;no bid
12-14-24 No speed; rail; late interest; passed tiring rivals;,Rail;by-faders late
02-14-25 2-path between horses turn; 3 wide 1/4; rail 1/8; flattened out;,Flattened out inside;
03-01-25 No speed; wide 1/4; bumped upper stretch; passed tiring rivals;,Bump 3/16;by-faders
03-22-25 Void early speed; eased stretch; walked off,Eased; walked off
01-18-25 Rail; chased; faltered;,Rail; faltered
02-01-25 Chased winner; gave way;,Chased; gave way
02-21-25 Chased pace outside horses; faltered;,Chased; faltered
03-21-25 Rail; briefly chased pace,Rail briefly chased
03-01-25 Chased pace between horses; gave way;,Chased between foes
03-14-25 Briefly chased pace; gave way turn,Gave way turn
03-21-25 Rushed up early; rail; speed; weakened;,Rail; speed; weakened
04-27-25 Stumbled start;hustled up;hard chase;gave way grudgingly;held 2nd,Stumbld;chased;game
